7010452,0108009,0.05
7010452,0226405,0.003
7010452,0226404,0.0007
7010452,0108077,0.05
7010452,0240703,0.055
7010452,1027108,1
7010452,0226402,0.005
7010452,0226401,0.003
7010452,0226400,0.003
7010452,0108060,0.002
7010452,0108051,0.005
7010452,0226409,0.005
7010452,0226406,0.01
7010452,0108037,0.025
7010452,0226408,0.005
7010452,0108022,0.06
7010452,0226407,0.06
7010453,0226400,0.003
7010453,0226401,0.003
7010453,1027192,1
7010453,0240703,0.055
7010453,0108051,0.005
7010453,0226409,0.005
7010453,0226402,0.005
7010453,0108077,0.05
7010453,0226404,0.0007
7010453,0226405,0.003
7010453,0108009,0.05
7010453,0226407,0.06
7010453,0108022,0.06
7010453,0226408,0.005
7010453,0108037,0.025
7010453,0226406,0.01
7010456,0108116,0.06
7010456,0108017,0.05
7010456,0108056,0.05
7010456,0108063,0.003
7010456,0240704,0.09
7010456,0108014,0.001
7010456,0108035,0.003
7010456,0108047,0.01
7010456,0108027,0.075
7010456,0226410,0.005
7010456,1027073,1
7010456,0108015,0.002
7010456,0108007,0.0015
7010464,0201240,0.0103
7010464,0209627,0.0309
7010464,0209886,3.26666666666667E-07
7010464,0209966,6.95333333333333E-06
7010464,0213012,0.000515333333333333
7010464,0214337,0.00206
7010464,0214820,0.0206
7010464,0217614,0.0309
7010464,0219439,0.000926666666666667
7010464,0221316,0.0103
7010464,0226320,0.00206
7010464,0227597,0.0206
7010464,0228389,0.00515333333333333
7010464,0108116,0.0515
7010464,0236164,0.0257533333333333
7010464,0237349,0.309
7010469,0220908,0.00207333333333333
7010469,0201313,0.00078
7010469,0228086,0.000726666666666667
7010469,0237349,0.362366666666667
7010469,0226307,0.0724733333333333
7010469,0209627,0.0517666666666667
7010469,0215135,0.00518
7010469,0228389,0.0155333333333333
7010469,0223307,0.0207066666666667
7010469,0214807,0.00103333333333333
7010469,0214803,0.00103333333333333
7010469,0207291,0.00310666666666667
7010469,0237642,0.0103533333333333
7010469,P0000706,0.0207066666666667
7010469,0236164,0.0517666666666667
7010469,0200360,0.000726666666666667
7010469,0214287,0.0103533333333333
7010528,0235021,0.000946666666666667
7010528,0213012,0.000526666666666667
7010528,0214296,0.00157333333333333
7010528,0223043,0.0063
7010528,0236164,0.0315
7010528,0226342,0.0105
7010528,0220921,0.0021
7010528,0108116,0.0315
7010528,0214820,0.0105
7010528,0209627,0.042
7010528,0227597,0.021
7010528,0226307,0.0735
7010528,0209458,0.00315333333333333
7010528,0228086,0.0315
7010528,0227565,0.0042
7010528,0213503,0.00105333333333333
7010528,0207117,0.021
7010528,0200371,0.021
7010528,0237349,0.3465
7010528,0228389,0.00525333333333333
7010528,0228394,0.00105333333333333
7010528,0123077,0.00105333333333333
7010528,0206253,0.000313333333333333
7010528,0219439,0.0105
7010529,0209627,0.052
7010529,0226307,0.0728
7010529,0237349,0.364
7010529,0209458,0.00312
7010529,0228086,0.0052
7010529,0227565,0.00416
7010529,0235823,0.0052
7010529,0235021,0.00104
7010529,0206253,0.000313333333333333
7010529,0123077,0.00208
7010529,0228389,0.0312
7010529,0213012,0.00052
7010529,0214296,0.00208
7010529,0108116,0.0312
7010529,0223043,0.00312
7010529,0236164,0.0312
7010529,0214820,0.0208
7010529,0227597,0.0208
7010530,0108089,0.06
7010530,0108102,0.15
7010530,0108085,0.02
7010530,1027191,1
7010530,0226404,0.01
7010530,0108099,0.01
7010530,0108100,0.0526
7010530,0108095,0.07
7010530,0108077,0.1
7010530,0108118,0.01
7010530,0108105,0.004
7010531,0237427,0.01352
7010531,0108014,0.00104
7010531,0226410,0.0052
7010531,0226404,0.0208
7010531,0200371,0.00104
7010531,0108088,0.0052
7010531,0108100,0.0728
7010531,0108108,0.052
7010531,0226402,0.00312
7010531,0108055,0.00104
7010531,0108107,0.000626666666666667
7010534,0226409,0.001
7010534,0108057,0.04
7010534,P0000443,0.02
7010534,0237387,0.005
7010534,0226364,0.004
7010534,0108141,0.02
7010534,0108042,0.01
7010534,0237388,0.08
7010534,0226362,0.06
7010534,0226359,0.09
7010534,0226367,0.02
7010534,0108008,0.001
7010534,P0000181,0.003
7010534,P0000598,0.001
7010534,0108029,0.002
7010534,0108015,0.001
7010534,0108032,0.03
7010534,P0000600,0.05
7010534,0226358,0.04
7010534,0237386,0.14
7010534,0226404,0.00011
7010534,P0000601,0.035
7010534,0108092,0.04
7010535,0226409,0.001
7010535,0108057,0.04
7010535,P0000443,0.02
7010535,0237387,0.005
7010535,0226364,0.004
7010535,0108141,0.02
7010535,0108042,0.01
7010535,0237388,0.08
7010535,0226362,0.06
7010535,0226359,0.09
7010535,0226367,0.02
7010535,0108008,0.001
7010535,P0000181,0.003
7010535,P0000598,0.001
7010535,0108029,0.002
7010535,0108015,0.001
7010535,0108032,0.03
7010535,P0000600,0.05
7010535,0226358,0.04
7010535,0237386,0.14
7010535,0226404,0.0005
7010535,0108092,0.04
7010536,0226409,0.001
7010536,0108057,0.03
