7010452,16298556,0.05
7010452,16298557,0.003
7010452,16298558,0.0007
7010452,16298559,0.05
7010452,16298560,0.055
7010452,16298561,1
7010452,16298562,0.005
7010452,16298563,0.003
7010452,16298564,0.003
7010452,16298565,0.002
7010452,16298566,0.005
7010452,16298567,0.005
7010452,16298568,0.01
7010452,16298569,0.025
7010452,16298570,0.005
7010452,16298571,0.06
7010452,16298572,0.06
7010453,16298564,0.003
7010453,16298563,0.003
7010453,16298573,1
7010453,16298560,0.055
7010453,16298566,0.005
7010453,16298567,0.005
7010453,16298562,0.005
7010453,16298559,0.05
7010453,16298558,0.0007
7010453,16298557,0.003
7010453,16298556,0.05
7010453,16298572,0.06
7010453,16298571,0.06
7010453,16298570,0.005
7010453,16298569,0.025
7010453,16298568,0.01
7010456,16298574,0.06
7010456,16298575,0.05
7010456,16298576,0.05
7010456,16298577,0.003
7010456,16298578,0.09
7010456,16298579,0.001
7010456,16298580,0.003
7010456,16298581,0.01
7010456,16298582,0.075
7010456,16298583,0.005
7010456,16298584,1
7010456,16298585,0.002
7010456,16298586,0.0015
7010464,16298587,0.0103
7010464,16298588,0.0309
7010464,16298589,3.26666666666667E-07
7010464,16298590,6.95333333333333E-06
7010464,16298591,0.000515333333333333
7010464,16298592,0.00206
7010464,16298593,0.0206
7010464,16298594,0.0309
7010464,16298595,0.000926666666666667
7010464,16298596,0.0103
7010464,16298597,0.00206
7010464,16298598,0.0206
7010464,16298599,0.00515333333333333
7010464,16298574,0.0515
7010464,16298600,0.0257533333333333
7010464,16298601,0.309
7010469,16298602,0.00207333333333333
7010469,16298603,0.00078
7010469,16298604,0.000726666666666667
7010469,16298601,0.362366666666667
7010469,16298605,0.0724733333333333
7010469,16298588,0.0517666666666667
7010469,16298606,0.00518
7010469,16298599,0.0155333333333333
7010469,16298607,0.0207066666666667
7010469,16298608,0.00103333333333333
7010469,16298609,0.00103333333333333
7010469,16298610,0.00310666666666667
7010469,16298611,0.0103533333333333
7010469,16298612,0.0207066666666667
7010469,16298600,0.0517666666666667
7010469,16298613,0.000726666666666667
7010469,16298614,0.0103533333333333
7010528,16298615,0.000946666666666667
7010528,16298591,0.000526666666666667
7010528,16298616,0.00157333333333333
7010528,16298617,0.0063
7010528,16298600,0.0315
7010528,16298618,0.0105
7010528,16298619,0.0021
7010528,16298574,0.0315
7010528,16298593,0.0105
7010528,16298588,0.042
7010528,16298598,0.021
