16700000;16700497;0.02
16700000;16700498;0.01
16700000;16700499;1
16700001;16700497;0.02
16700001;16700498;0.01
16700001;16700500;1
16700002;16700501;1
16700002;16700497;0.02
16700002;16700498;0.01
16700003;16700497;0.02
16700003;16700502;1
16700003;16700498;0.01
16700004;16700503;1
16700004;16700498;0.01
16700005;16700497;0.002
16700005;16700498;0.01
16700005;16700504;1
16700006;16700505;1
16700006;16700506;0.0833
16700006;16700507;1
16700007;16700508;1
16700007;16700509;1
16700007;16700510;0.0833
16700008;16700511;1
16700008;16700512;0.0833
16700008;16700513;0.167
16700009;16700514;1
16700009;16700515;0.0833
16700010;16700516;1
16700010;16700497;0.1667
16700010;16700506;0.0833
16700011;16700010;2
16700011;16700517;1
16700011;16700518;0.1
16700012;16700519;1
16700012;16700520;0.083
16700013;16700521;1
16700013;16700497;0.1667
16700013;16700512;0.0833
16700014;16700522;1
16700014;16700523;0.0833
16700014;16700513;0.0333
16700015;16700524;1
16700015;16700497;0.1667
16700015;16700512;0.0833
16700016;16700525;1
16700016;16700497;0.1667
16700016;16700498;0.0833
16700017;16700526;1
16700017;16700527;0.0833
16700017;16700497;0.1667
16700018;16700528;1
16700018;16700017;2
16700018;16700518;0.083
16700019;16700497;0.1667
16700019;16700529;0.0833
16700019;16700530;1
16700020;16700531;1
16700020;16700498;0.0833
16700020;16700497;0.1667
16700021;16700532;1
16700021;16700520;0.0833
16700021;16700513;0.167
16700022;16700497;0.1667
16700022;16700529;0.0833
16700022;16700533;1
16700023;16700534;1
16700023;16700520;0.0833
16700024;16700535;1
16700024;16700523;0.0833
16700024;16700513;0.1667
16700025;16700497;0.02
16700025;16700536;1
16700025;16700510;0.005
16700026;16700537;1
16700026;16700497;0.02
16700026;16700498;0.01
16700027;16700538;1
16700027;16700497;0.02
16700027;16700498;0.01
16700028;16700539;1
16700028;16700497;0.02
16700028;16700498;0.01
16700029;16700497;0.02
16700029;16700498;0.01
16700029;16700540;1
16700030;16700541;1
16700030;16700497;0.02
16700030;16700498;0.01
16700031;16700542;1
16700031;16700498;0.01
16700031;16700497;0.02
16700032;16700497;0.02
16700032;16700543;1
16700032;16700498;0.01
16700033;16700497;0.02
16700033;16700498;0.01
16700033;16700544;1
16700034;16700545;1
16700034;16700546;0.01
16700034;16700513;0.02
16700035;16700497;0.02
16700035;16700547;1
16700035;16700498;0.01
16700036;16700548;1
16700036;16700497;0.02
16700036;16700498;0.01
16700037;16700549;1
16700037;16700546;0.01
16700037;16700513;0.02
16700038;16700550;1
16700038;16700497;0.02
16700038;16700498;0.01
16700039;16700551;1
16700039;16700497;0.02
16700039;16700498;0.01
16700040;16700552;1
16700040;16700497;0.01
16700040;16700498;0.01
16700041;16700497;0.02
16700041;16700510;0.005
16700041;16700553;1
16700042;16700498;0.01
16700042;16700497;0.02
16700042;16700554;1
16700043;16700555;1
16700043;16700498;0.01
16700044;16700556;1
16700044;16700546;0.01
16700045;16700557;1
16700045;16700510;0.005
16700046;16700558;1
16700046;16700546;0.01
16700046;16700513;0.02
16700047;16700497;0.1667
16700047;16700559;1
16700047;16700498;0.01
16700048;16700560;1
16700048;16700518;0.0833
16700048;16700497;0.25
16700049;16700561;1
16700049;16700512;0.0833
16700049;16700497;0.3333
16700050;16700562;0.05
16700050;16700563;0.003
16700050;16700564;0.0007
16700050;16700565;0.05
16700050;16700566;0.055
16700050;16700568;0.005
16700050;16700569;0.003
16700050;16700570;0.003
16700050;16700571;0.002
16700050;16700572;0.005
16700050;16700573;0.005
16700050;16700574;0.01
16700050;16700575;0.025
16700050;16700576;0.005
16700050;16700577;0.06
16700050;16700578;0.06
16700051;16700570;0.003
16700051;16700569;0.003
16700051;16700566;0.055
16700051;16700572;0.005
16700051;16700573;0.005
16700051;16700568;0.005
16700051;16700565;0.05
16700051;16700564;0.0007
16700051;16700563;0.003
16700051;16700562;0.05
16700051;16700578;0.06
16700051;16700577;0.06
16700051;16700576;0.005
16700051;16700575;0.025
16700051;16700574;0.01
16700052;16700580;0.0832
16700052;16700581;0.208
16700052;16700582;0.0416
16700052;16700583;0.0104
16700052;16700584;0.0208
16700052;16700585;0.00052
16700052;16700586;0.0052
